"priority","paper_id","title","why_you_are_being_asked","currently_labeled_waymo","machine_found","open_this","AFFILIATIONS_fill","IS_WAYMO_fill","NOTES_fill"
"1","2005.03844","SurfelGAN: Synthesizing Realistic Sensor Data for Autonomous Driving","on the curated list but NO extractor could confirm it","yes","nothing -- no affiliations extracted","https://arxiv.org/abs/2005.03844","","",""
"1","2008.07725","SoDA: Multi-Object Tracking with Soft Data Association","on the curated list but NO extractor could confirm it","yes","nothing -- no affiliations extracted","https://arxiv.org/abs/2008.07725","","",""
"1","2008.08294","TNT: Target-driveN Trajectory Prediction","on the curated list but NO extractor could confirm it","yes","nothing -- no affiliations extracted","https://arxiv.org/abs/2008.08294","","",""
"1","2011.00038","Waymo Public Road Safety Performance Data","on the curated list but NO extractor could confirm it","yes","nothing -- no affiliations extracted","https://arxiv.org/abs/2011.00038","","",""
"1","2011.00054","Waymo's Safety Methodologies and Safety Readiness Determinations","on the curated list but NO extractor could confirm it","yes","nothing -- no affiliations extracted","https://arxiv.org/abs/2011.00054","","",""
"1","2103.05073","Offboard 3D Object Detection from Point Cloud Sequences","on the curated list but NO extractor could confirm it","yes","nothing -- no affiliations extracted","https://arxiv.org/abs/2103.05073","","",""
"1","2104.09959","Identifying Driver Interactions via Conditional Behavior Prediction","on the curated list but NO extractor could confirm it","yes","nothing -- no affiliations extracted","https://arxiv.org/abs/2104.09959","","",""
"1","2104.10133","Large Scale Interactive Motion Forecasting for Autonomous Driving : The Waymo Open Motion Dataset","on the curated list but NO extractor could confirm it","yes","nothing -- no affiliations extracted","https://arxiv.org/abs/2104.10133","","",""
"1","2106.14880","HDMapGen: A Hierarchical Graph Generative Model of High Definition Maps","on the curated list but NO extractor could confirm it","yes","nothing -- no affiliations extracted","https://arxiv.org/abs/2106.14880","","",""
"1","2111.14973","MultiPath++: Efficient Information Fusion and Trajectory Aggregation for Behavior Prediction","on the curated list but NO extractor could confirm it","yes","nothing -- no affiliations extracted","https://arxiv.org/abs/2111.14973","","",""
"1","2201.05938","GradTail: Learning Long-Tailed Data Using Gradient-based Sample Weighting","on the curated list but NO extractor could confirm it","yes","nothing -- no affiliations extracted","https://arxiv.org/abs/2201.05938","","",""
"1","2203.03875","Occupancy Flow Fields for Motion Forecasting in Autonomous Driving","on the curated list but NO extractor could confirm it","yes","nothing -- no affiliations extracted","https://arxiv.org/abs/2203.03875","","",""
"1","2205.03195","Symphony: Learning Realistic and Diverse Agents for Autonomous Driving Simulation","on the curated list but NO extractor could confirm it","yes","nothing -- no affiliations extracted","https://arxiv.org/abs/2205.03195","","",""
"1","2205.04624","KEMP: Keyframe-Based Hierarchical End-to-End Deep Model for Long-Term Trajectory Prediction","on the curated list but NO extractor could confirm it","yes","nothing -- no affiliations extracted","https://arxiv.org/abs/2205.04624","","",""
"1","2205.05703","Multi-Class 3D Object Detection with Single-Class Supervision","on the curated list but NO extractor could confirm it","yes","nothing -- no affiliations extracted","https://arxiv.org/abs/2205.05703","","",""
"1","2206.00991","StopNet: Scalable Trajectory and Occupancy Prediction for Urban Autonomous Driving","on the curated list but NO extractor could confirm it","yes","nothing -- no affiliations extracted","https://arxiv.org/abs/2206.00991","","",""
"1","2206.01738","RIDDLE: Lidar Data Compression with Range Image Deep Delta Encoding","on the curated list but NO extractor could confirm it","yes","nothing -- no affiliations extracted","https://arxiv.org/abs/2206.01738","","",""
"1","2206.03970","Narrowing the Coordinate-frame Gap in Behavior Prediction Models: Distillation for Efficient and Accurate Scene-centric Motion Forecasting","on the curated list but NO extractor could confirm it","yes","nothing -- no affiliations extracted","https://arxiv.org/abs/2206.03970","","",""
"1","2206.07705","LET-3D-AP: Longitudinal Error Tolerant 3D Average Precision for Camera-Only 3D Detection","on the curated list but NO extractor could confirm it","yes","nothing -- no affiliations extracted","https://arxiv.org/abs/2206.07705","","",""
"1","2208.06062","Optimizing Anchor-based Detectors for Autonomous Driving Scenes","on the curated list but NO extractor could confirm it","yes","nothing -- no affiliations extracted","https://arxiv.org/abs/2208.06062","","",""
"1","2208.12833","Waymo's Fatigue Risk Management Framework: Prevention, Monitoring, and Mitigation of Fatigue-Induced Risks while Testing Automated Driving Systems","on the curated list but NO extractor could confirm it","yes","nothing -- no affiliations extracted","https://arxiv.org/abs/2208.12833","","",""
"1","2210.08064","LESS: Label-Efficient Semantic Segmentation for LiDAR Point Clouds","on the curated list but NO extractor could confirm it","yes","nothing -- no affiliations extracted","https://arxiv.org/abs/2210.08064","","",""
"1","2210.08113","Instance Segmentation with Cross-Modal Consistency","on the curated list but NO extractor could confirm it","yes","nothing -- no affiliations extracted","https://arxiv.org/abs/2210.08113","","",""
"1","2210.09267","CramNet: Camera-Radar Fusion with Ray-Constrained Cross-Attention for Robust 3D Object Detection","on the curated list but NO extractor could confirm it","yes","nothing -- no affiliations extracted","https://arxiv.org/abs/2210.09267","","",""
